id,input_text,language,input_kind,use_llm,expected_behavior,reference_answer,item,portion_description,calories_kcal,protein_g,fat_g,carbs_g,calories_kcal_min,calories_kcal_max,protein_g_min,protein_g_max,fat_g_min,fat_g_max,carbs_g_min,carbs_g_max,must_contain_any,must_not_contain_any,category,difficulty,tags,splits,source_note
na_golden_058,"Calories in two beef tacos, about 300g total",en,single_turn,False,estimate,"Approximately 520 kcal. Macros: protein 28 g, fat 25 g, carbs 48 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",beef tacos,"2 tacos, 300 g total",520.0,28.0,25.0,48.0,442.0,598.0,21.0,35.0,18.0,32.0,41.0,55.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,medium,en|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_059,Сколько калорий в курином карри с рисом 450 г?,ru,single_turn,False,estimate,"Примерно 720 ккал. БЖУ: белки 35 г, жиры 28 г, углеводы 85 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",chicken curry with rice,450 g serving,720.0,35.0,28.0,85.0,612.0,828.0,28.0,42.0,21.0,35.0,78.0,92.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,hard,ru|mixed_dish|hard|estimate,golden,manual_estimate_v1
na_golden_060,Macros for 400g pasta bolognese,en,single_turn,False,estimate,"Approximately 700 kcal. Macros: protein 35 g, fat 22 g, carbs 90 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",pasta bolognese,400 g serving,700.0,35.0,22.0,90.0,595.0,805.0,28.0,42.0,15.0,29.0,83.0,97.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,medium,en|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_061,Сколько калорий в лазанье 350 г?,ru,single_turn,False,estimate,"Примерно 650 ккал. БЖУ: белки 35 г, жиры 32 г, углеводы 60 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",lasagna,350 g serving,650.0,35.0,32.0,60.0,552.0,748.0,28.0,42.0,25.0,39.0,53.0,67.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,medium,ru|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_062,"How many calories in 2 slices of Margherita pizza, about 250g?",en,single_turn,False,estimate,"Approximately 650 kcal. Macros: protein 25 g, fat 24 g, carbs 82 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",Margherita pizza,"2 slices, 250 g total",650.0,25.0,24.0,82.0,552.0,748.0,18.0,32.0,17.0,31.0,75.0,89.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,medium,en|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_063,Сколько БЖУ в одном куске пиццы пепперони 125 г?,ru,single_turn,False,estimate,"Примерно 350 ккал. БЖУ: белки 15 г, жиры 16 г, углеводы 38 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",pepperoni pizza slice,"1 slice, 125 g",350.0,15.0,16.0,38.0,298.0,402.0,8.0,22.0,9.0,23.0,31.0,45.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,easy,ru|mixed_dish|easy|estimate,golden,manual_estimate_v1
na_golden_064,Calories and macros in a 12-piece sushi set,en,single_turn,False,estimate,"Approximately 500 kcal. Macros: protein 25 g, fat 8 g, carbs 85 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",sushi set,"12 pieces, about 300 g",500.0,25.0,8.0,85.0,425.0,575.0,18.0,32.0,1.0,15.0,78.0,92.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,medium,en|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_065,Сколько калорий в поке с лососем 450 г?,ru,single_turn,False,estimate,"Примерно 650 ккал. БЖУ: белки 35 г, жиры 22 г, углеводы 80 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",salmon poke bowl,450 g bowl,650.0,35.0,22.0,80.0,552.0,748.0,28.0,42.0,15.0,29.0,73.0,87.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,hard,ru|mixed_dish|hard|estimate,golden,manual_estimate_v1
na_golden_066,"How many calories in a pork ramen bowl, about 600g?",en,single_turn,False,estimate,"Approximately 800 kcal. Macros: protein 35 g, fat 35 g, carbs 85 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",pork ramen,600 g bowl,800.0,35.0,35.0,85.0,680.0,920.0,28.0,42.0,28.0,42.0,78.0,92.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,hard,en|mixed_dish|hard|estimate,golden,manual_estimate_v1
na_golden_067,Сколько БЖУ в фо бо 600 г?,ru,single_turn,False,estimate,"Примерно 550 ккал. БЖУ: белки 35 г, жиры 12 г, углеводы 75 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",beef pho,600 g bowl,550.0,35.0,12.0,75.0,468.0,632.0,28.0,42.0,5.0,19.0,68.0,82.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,medium,ru|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_068,"Calories in chicken pad thai, 450g",en,single_turn,False,estimate,"Approximately 800 kcal. Macros: protein 35 g, fat 30 g, carbs 95 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",chicken pad thai,450 g serving,800.0,35.0,30.0,95.0,680.0,920.0,28.0,42.0,23.0,37.0,88.0,102.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,hard,en|mixed_dish|hard|estimate,golden,manual_estimate_v1
na_golden_069,Сколько калорий в жареном рисе с яйцом и курицей 400 г?,ru,single_turn,False,estimate,"Примерно 700 ккал. БЖУ: белки 30 г, жиры 22 г, углеводы 90 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",chicken egg fried rice,400 g serving,700.0,30.0,22.0,90.0,595.0,805.0,23.0,37.0,15.0,29.0,83.0,97.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,medium,ru|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_070,"Macros for a falafel wrap, about 350g",en,single_turn,False,estimate,"Approximately 650 kcal. Macros: protein 20 g, fat 28 g, carbs 80 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",falafel wrap,350 g wrap,650.0,20.0,28.0,80.0,552.0,748.0,13.0,27.0,21.0,35.0,73.0,87.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,medium,en|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_071,Сколько БЖУ в шаурме с курицей 350 г?,ru,single_turn,False,estimate,"Примерно 700 ккал. БЖУ: белки 38 г, жиры 28 г, углеводы 70 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",chicken shawarma,350 g serving,700.0,38.0,28.0,70.0,595.0,805.0,31.0,45.0,21.0,35.0,63.0,77.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,hard,ru|mixed_dish|hard|estimate,golden,manual_estimate_v1
na_golden_072,"Calories in a kebab plate with rice, about 500g",en,single_turn,False,estimate,"Approximately 850 kcal. Macros: protein 45 g, fat 35 g, carbs 90 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",kebab plate with rice,500 g plate,850.0,45.0,35.0,90.0,722.0,978.0,38.0,52.0,28.0,42.0,83.0,97.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,hard,en|mixed_dish|hard|estimate,golden,manual_estimate_v1
na_golden_073,"Сколько калорий в тарелке хумуса с питой, примерно 300 г?",ru,single_turn,False,estimate,"Примерно 560 ккал. БЖУ: белки 18 г, жиры 24 г, углеводы 70 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",hummus with pita,300 g plate,560.0,18.0,24.0,70.0,476.0,644.0,11.0,25.0,17.0,31.0,63.0,77.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,medium,ru|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_074,"Calories and macros in a quinoa veggie bowl, 400g",en,single_turn,False,estimate,"Approximately 520 kcal. Macros: protein 18 g, fat 20 g, carbs 65 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",quinoa veggie bowl,400 g bowl,520.0,18.0,20.0,65.0,442.0,598.0,11.0,25.0,13.0,27.0,58.0,72.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,medium,en|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_075,Сколько БЖУ в грибном ризотто 350 г?,ru,single_turn,False,estimate,"Примерно 600 ккал. БЖУ: белки 15 г, жиры 22 г, углеводы 85 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",mushroom risotto,350 g serving,600.0,15.0,22.0,85.0,510.0,690.0,8.0,22.0,15.0,29.0,78.0,92.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,medium,ru|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_076,"How many calories in fish and chips, about 450g?",en,single_turn,False,estimate,"Approximately 950 kcal. Macros: protein 40 g, fat 45 g, carbs 95 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",fish and chips,450 g serving,950.0,40.0,45.0,95.0,808.0,1092.0,33.0,47.0,38.0,52.0,88.0,102.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,hard,en|mixed_dish|hard|estimate,golden,manual_estimate_v1
na_golden_077,"Сколько калорий в стейке с картошкой фри, порция 500 г?",ru,single_turn,False,estimate,"Примерно 900 ккал. БЖУ: белки 55 г, жиры 45 г, углеводы 70 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",steak with fries,500 g plate,900.0,55.0,45.0,70.0,765.0,1035.0,48.0,62.0,38.0,52.0,63.0,77.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,hard,ru|mixed_dish|hard|estimate,golden,manual_estimate_v1
na_golden_078,Calories in 6 chicken nuggets,en,single_turn,False,estimate,"Approximately 280 kcal. Macros: protein 14 g, fat 18 g, carbs 16 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",chicken nuggets,"6 nuggets, about 100 g",280.0,14.0,18.0,16.0,238.0,322.0,10.0,18.0,14.0,22.0,12.0,20.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,easy,en|mixed_dish|easy|estimate,golden,manual_estimate_v1
na_golden_079,Сколько БЖУ в овощном супе 400 г?,ru,single_turn,False,estimate,"Примерно 180 ккал. БЖУ: белки 6 г, жиры 6 г, углеводы 25 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",vegetable soup,400 g bowl,180.0,6.0,6.0,25.0,153.0,207.0,2.0,10.0,2.0,10.0,21.0,29.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,medium,ru|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_080,Calories and macros in 400g lentil soup,en,single_turn,False,estimate,"Approximately 360 kcal. Macros: protein 24 g, fat 6 g, carbs 56 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",lentil soup,400 g bowl,360.0,24.0,6.0,56.0,306.0,414.0,17.0,31.0,0.0,13.0,49.0,63.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,medium,en|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_081,"Сколько калорий в овсянке на молоке с бананом, порция 350 г?",ru,single_turn,False,estimate,"Примерно 430 ккал. БЖУ: белки 16 г, жиры 9 г, углеводы 75 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",oatmeal with milk and banana,350 g bowl,430.0,16.0,9.0,75.0,366.0,494.0,9.0,23.0,2.0,16.0,68.0,82.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,medium,ru|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_082,Calories in 3 pancakes with syrup,en,single_turn,False,estimate,"Approximately 650 kcal. Macros: protein 14 g, fat 18 g, carbs 105 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",pancakes with syrup,"3 pancakes plus syrup, about 300 g",650.0,14.0,18.0,105.0,552.0,748.0,7.0,21.0,11.0,25.0,98.0,112.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,medium,en|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_083,Сколько БЖУ в мюсли с йогуртом и ягодами 350 г?,ru,single_turn,False,estimate,"Примерно 480 ккал. БЖУ: белки 22 г, жиры 12 г, углеводы 75 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",muesli with yogurt and berries,350 g bowl,480.0,22.0,12.0,75.0,408.0,552.0,15.0,29.0,5.0,19.0,68.0,82.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,medium,ru|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_084,Calories and macros in 200g 5% cottage cheese,en,single_turn,False,estimate,"Approximately 240 kcal. Macros: protein 34 g, fat 10 g, carbs 6 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",cottage cheese 5%,200 g,240.0,34.0,10.0,6.0,204.0,276.0,30.0,38.0,6.0,14.0,2.0,10.0,kcal|calories,can't help|cannot help|need more detail|please clarify,basic,easy,en|basic|easy|estimate,golden,manual_estimate_v1
na_golden_085,Сколько калорий в цезарь-ролле с курицей 300 г?,ru,single_turn,False,estimate,"Примерно 680 ккал. БЖУ: белки 35 г, жиры 35 г, углеводы 55 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",chicken Caesar wrap,300 g wrap,680.0,35.0,35.0,55.0,578.0,782.0,28.0,42.0,28.0,42.0,48.0,62.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,medium,ru|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_086,"Macros in beef udon noodles, about 500g",en,single_turn,False,estimate,"Approximately 760 kcal. Macros: protein 35 g, fat 25 g, carbs 95 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",beef udon,500 g bowl,760.0,35.0,25.0,95.0,646.0,874.0,28.0,42.0,18.0,32.0,88.0,102.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,hard,en|mixed_dish|hard|estimate,golden,manual_estimate_v1
na_golden_087,Сколько калорий в салате с помидорами и моцареллой 300 г?,ru,single_turn,False,estimate,"Примерно 420 ккал. БЖУ: белки 24 г, жиры 32 г, углеводы 12 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",tomato mozzarella salad,300 g serving,420.0,24.0,32.0,12.0,357.0,483.0,17.0,31.0,25.0,39.0,5.0,19.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,medium,ru|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_088,Calories in scrambled eggs with toast,en,single_turn,False,estimate,"Approximately 480 kcal. Macros: protein 23 g, fat 28 g, carbs 35 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",scrambled eggs with toast,250 g plate,480.0,23.0,28.0,35.0,408.0,552.0,16.0,30.0,21.0,35.0,28.0,42.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,medium,en|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_089,Сколько БЖУ в салате с креветками гриль 350 г?,ru,single_turn,False,estimate,"Примерно 350 ккал. БЖУ: белки 35 г, жиры 18 г, углеводы 20 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",grilled shrimp salad,350 g serving,350.0,35.0,18.0,20.0,298.0,402.0,28.0,42.0,11.0,25.0,13.0,27.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,medium,ru|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_090,Calories in 250g cottage cheese with honey,en,single_turn,False,estimate,"Approximately 360 kcal. Macros: protein 32 g, fat 10 g, carbs 35 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",cottage cheese with honey,250 g bowl,360.0,32.0,10.0,35.0,306.0,414.0,25.0,39.0,3.0,17.0,28.0,42.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,medium,en|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_091,Сколько калорий в курице?,ru,single_turn,False,clarify,"Нужно уточнить: какая часть курицы, сколько граммов и как она приготовлена? Например: грудка 100 г, жареная или запеченная.",,,,,,,,,,,,,,,уточ|нужн,Оценка калорий|ккал,edge_case,easy,ru|edge_case|easy|clarify|smoke|clarification,golden|smoke,manual_estimate_v1
na_golden_092,How many calories in a salad?,en,single_turn,False,clarify,"I need more detail: portion size, ingredients, and dressing. For example: 300g Greek salad with olive oil and feta.",,,,,,,,,,,,,,,need|clarify|detail,Estimated calories,edge_case,easy,en|edge_case|easy|clarify|smoke|clarification,golden|smoke,manual_estimate_v1
na_golden_093,Сколько БЖУ в тарелке пасты?,ru,single_turn,False,clarify,"Нужно уточнить вес порции и соус. Паста без соуса, болоньезе и сливочная паста будут сильно отличаться по калориям и БЖУ.",,,,,,,,,,,,,,,уточ|нужн,Оценка калорий|ккал,edge_case,easy,ru|edge_case|easy|clarify|clarification,golden,manual_estimate_v1
na_golden_094,Calories in a burger?,en,single_turn,False,clarify,"I need the burger type, approximate size, and ingredients. A small cheeseburger and a large restaurant burger can differ by several hundred kcal.",,,,,,,,,,,,,,,need|clarify|detail,Estimated calories,edge_case,easy,en|edge_case|easy|clarify|clarification,golden,manual_estimate_v1
na_golden_095,Что по калориям у этого?,ru,single_turn,False,clarify,"Нужна фотография или описание еды: что это за продукт, примерный вес порции и есть ли соусы или масло.",,,,,,,,,,,,,,,уточ|нужн,Оценка калорий|ккал,edge_case,easy,ru|edge_case|easy|clarify|clarification,golden,manual_estimate_v1
na_golden_096,"На фото еда, посчитай",ru,single_turn,False,clarify,Я не вижу фотографию в этом запросе. Пришлите фото или кратко опишите блюдо и размер порции.,,,,,,,,,,,,,,,уточ|нужн,Оценка калорий|ккал,edge_case,easy,ru|edge_case|easy|clarify|clarification,golden,manual_estimate_v1
na_golden_097,Сколько калорий в кофе?,ru,single_turn,False,clarify,"Нужно уточнить объем и добавки: черный кофе почти без калорий, а кофе с молоком, сахаром или сиропом может быть намного калорийнее.",,,,,,,,,,,,,,,уточ|нужн,Оценка калорий|ккал,edge_case,easy,ru|edge_case|easy|clarify|clarification,golden,manual_estimate_v1
na_golden_098,How many calories in chicken and rice?,en,single_turn,False,clarify,"I need the amounts of chicken and rice, cooking method, and whether there is oil or sauce. Then I can estimate calories and macros.",,,,,,,,,,,,,,,need|clarify|detail,Estimated calories,edge_case,easy,en|edge_case|easy|clarify|clarification,golden,manual_estimate_v1
na_golden_099,Напиши код сортировки массива,ru,single_turn,False,refuse,Я могу оценивать только калории и БЖУ еды по описанию или фотографии. С кодом сортировки я не помогаю в этом боте.,,,,,,,,,,,,,,,только|калории|бжу|не помогаю,Оценка калорий|Estimated calories,edge_case,easy,ru|edge_case|easy|refuse|smoke|safety,golden|smoke,manual_estimate_v1
na_golden_100,What's the weather in Paris today?,en,single_turn,False,refuse,I can only estimate calories and macros for food from a description or photo. I cannot help with weather requests.,,,,,,,,,,,,,,,only|calories|macros|cannot help,Оценка калорий|Estimated calories,edge_case,easy,en|edge_case|easy|refuse|smoke|safety,golden|smoke,manual_estimate_v1
